"","V1","C_AICC","T0","Tm","c","bAICC","Snl_B0","Snl_E","Snl_E_h","Snl_T_h","Snl_AICC","Snl_Converge","Snh_B0","Snh_E","Snh_E_l","Snh_T_l","Snh_AICC","Snh_Converge","Full_B0","Full_E_h","Full_E_l","Full_E","Full_T_l","Full_T_h","Full_AICC","Full_Converge","Sample_size"
"1","MTD2143",-428.787401045062,15.9999999761003,32,1.53411295647035e-13,-391.332821924593,9.72949430711755e-12,0.758248874952894,2.86257482885384,308.074786936115,-429.936729754212,1,6.82541953492161e-11,0.275046158333858,-0.639648587022056,297.105954917786,-421.151454349349,1,1.35656867476723e-11,3.08996172663311,-0.639648587022056,0.67093267234558,273.15,308.209769969776,-391.842424136091,1,9
"2","MTD3138",-9.07122136520194,11.402670427351,40,0.000627773456075015,-13.3019833049924,0.116324367184265,0.679344695112385,258.755473909803,304.759795955362,-14.7996309666785,1,1.1925025311424,0.2002313843098,-0.62852128401768,304.676745,-8.63681691929047,1,0.97086313150505,363.717910842021,-0.62852128401768,0.277254672625036,304.676745,304.735507626088,17.1768546304604,0.95,12
"3","MTD3139",-7.12304919884616,11.4064891647209,37.0557870326897,0.000257861269405617,-18.3142416982062,0.0191291162544468,1.12166725071488,1.71569502999564,301.661435,-5.92276086812744,0.6,0.392870687486297,0.127060168415907,-0.805781587891247,298.075655120221,-3.82887107903282,0.95,0.0633117738258261,1.42279353959539,-0.805781587891247,0.792366144982305,289.535668788336,301.661435,35.2212198490872,0.95,8
"4","MTD3145",-4.08508231553603,3.66337086638675,40,0.000105043671966005,-13.6912662360666,0.0389704036782616,0.672312795283404,0.813198435104747,308.15,-3.1747652546064,1,0.152036501401639,0.219694014367614,-0.639619323805013,290.290126565062,-3.40354542861306,1,0.131063285554772,0.421901217724975,-0.639619323805013,0.396286809892003,289.563028561505,308.15,37.5923000736375,1,8
"5","MTD3161",-23.3262974849528,0,35.0020649271333,4.4893863562177e-05,-16.6353183835504,0.0317807500806886,0.323266967824507,30.5428883596704,308.411749338293,-23.4357855339353,0.95,0.12670076184857,0.0846620055460294,-0.281954428729087,303.15,-20.9430341910439,1,0.113017699877006,27.7023048192523,-0.281954428729087,0.153520219743201,303.15,308.292422435871,18.1972832871145,1,8
"6","MTD3164",-40.0430548839865,2.29738113635294,40,5.01407365117536e-05,-24.8164414500938,0.0496227546960028,0.462935866861407,1.42434139774236e-05,318.15,-36.7924721800654,0.55,0.0248122200473245,0.46292955515691,-0.451312444414699,132.691218422107,-36.7924721798507,0.3,0.0501383088643962,0.112317689430011,-0.451312444414699,0.466075582222324,273.15,312.555939540819,7.45527044348006,0.05,8
"7","MTD3167",-22.7030155088314,0.998566745101917,35.0000001187135,5.97116572878631e-05,-4.49794594006025,0.0930982961654373,0.316182954715286,2.62974821936015e-06,308.164923983119,-12.4011285419892,0.7,0.046549235360871,0.316182792558635,-0.307202047024983,98.8997733533076,-12.4011285422222,0.25,0.0881376484322929,0.152528925422427,-0.307202047024983,0.338869777732551,273.15,318.15,29.712955008102,0.35,8
"8","MTD3170",-12.6068462339478,0.998241549961122,35.0000000660489,7.17963820832323e-05,-7.50611137275197,0.0819749205522271,0.124147267643452,1.71025258390149,318.15,-12.7702956650868,0.95,0.191905467957961,0.0316747784512492,-0.135705675349999,291.705400524544,-12.4764979564446,0.8,0.15213925782943,21.6982465765807,-0.135705675349999,0.0825413725529034,273.15,308.46401617132,27.726051622682,0.85,8
"9","MTD3173",-11.0771014637569,0.998013474069106,35.0000000896816,7.24005845090156e-05,-5.27090973463019,0.10713388831965,0.244486617131511,0.222805237355164,308.15,-9.52178896249152,0.9,0.126023676429948,0.0938371025899957,-0.213553559758013,265.26661975164,-9.53263544846859,0.45,0.190481700034006,0.105522563762078,-0.213553559758013,0.142613516457719,273.15,308.15,31.7314887950982,0.85,8
"10","MTD3176",-9.52038799184684,0,35.0038900176244,9.52425660563963e-05,2.07114757634871,0.131589290607185,0.35384589912645,2.39102569697114e-05,308.178245004987,-5.97840638573039,0.5,0.0657977851410719,0.353834223779762,-0.363804371029784,113.430424893674,-5.97840638732819,0.5,0.0932627564200059,0.373416056654033,-0.363804371029784,0.46085351514302,273.15,308.15,36.9048013099199,0.2,8
